Date,,Start Location,Start District,End Location,End District
2023 4 22 11,82,пушкина,центральный,набережная,центральный
2023 4 22 11,83,некрасова,северо-западный,полевая,ленинский
2023 4 22 11,84,пушкина,центральный,матросова,центральный
2023 4 22 11,85,молодежная,юго-восточный,садовая,заречный
2023 4 22 11,86,восточная,октябрьский,партизанская,ленинский
2023 4 22 12,87,пионерская,заречный,луговая,октябрьский
2023 4 22 12,88,чкалова,юго-восточный,космонавтов,юго-восточный
2023 4 22 12,89,некрасова,северо-западный,майская,октябрьский
2023 4 22 12,90,речная,юго-восточный,заречная,юго-восточный
2023 4 22 12,91,майская,октябрьский,новая,северо-западный
2023 4 22 12,92,пионерская,заречный,первомайская,северо-западный
2023 4 22 12,93,майская,октябрьский,мира,центральный
2023 4 22 12,94,пионерская,заречный,садовая,заречный
2023 4 22 12,95,парковая,юго-восточный,вишневая,юго-восточный
2023 4 22 12,96,новая,северо-западный,ломоносова,октябрьский
2023 4 22 12,97,карла маркса,ленинский,свободы,ленинский
2023 4 22 12,98,комсомольская,заречный,луговая,октябрьский
2023 4 22 12,99,коммунальная,юго-восточный,пионерская,заречный
2023 4 22 12,100,строителей,центральный,вокзальная,юго-восточный
2023 4 22 12,101,майская,октябрьский,школьная,северо-западный
2023 4 22 12,102,кирова,ленинский,солнечная,центральный
2023 4 22 12,103,набережная,центральный,суворова,ленинский
2023 4 22 12,104,пушкина,центральный,советская,центральный
2023 4 22 12,105,матросова,центральный,нагорная,центральный
2023 4 22 12,106,садовая,заречный,энтузиастов,центральный
2023 4 22 12,107,строительная,северо-западный,советская,центральный
2023 4 22 12,108,энергетиков,юго-восточный,вишневая,юго-восточный
2023 4 22 12,109,некрасова,северо-западный,сиреневая,юго-восточный
2023 4 22 12,110,колхозная,ленинский,майская,октябрьский
2023 4 22 12,111,чкалова,юго-восточный,буденного,октябрьский
2023 4 22 12,112,южная,центральный,ленина,ленинский
2023 4 22 12,113,комарова,ленинский,дорожная,юго-восточный
2023 4 22 12,114,комсомольская,заречный,чкалова,юго-восточный
2023 4 22 12,115,луговая,октябрьский,новая,северо-западный
2023 4 22 12,116,красноармейская,юго-восточный,колхозная,ленинский
2023 4 22 12,117,майская,октябрьский,трудовая,центральный
2023 4 22 12,118,крупской,центральный,ломоносова,октябрьский
2023 4 22 12,119,чехова,заречный,березовая,северо-западный
2023 4 22 12,120,сосновая,юго-восточный,пионерская,заречный
2023 4 22 12,121,некрасова,северо-западный,рябиновая,северо-западный
2023 4 22 12,122,чехова,заречный,московская,северо-западный
2023 4 22 12,123,цветочная,северо-западный,карла маркса,ленинский
2023 4 22 12,124,ломоносова,октябрьский,чапаева,северо-западный
2023 4 22 12,125,октябрьская,заречный,гоголя,центральный
2023 4 22 12,126,школьная,северо-западный,гагарина,центральный
2023 4 22 12,127,озерная,юго-восточный,южная,центральный
2023 4 22 12,128,березовая,северо-западный,железнодорожная,центральный
2023 4 22 13,129,октябрьская,заречный,подгорная,ленинский
2023 4 22 13,130,рабочая,северо-западный,энергетиков,юго-восточный
2023 4 22 13,131,буденного,октябрьский,горького,юго-восточный
2023 4 22 13,132,энергетиков,юго-восточный,чкалова,юго-восточный
2023 4 22 13,133,первомайская,северо-западный,дзержинского,центральный
2023 4 22 13,134,набережная,центральный,сиреневая,юго-восточный
2023 4 22 13,135,вишневая,юго-восточный,буденного,октябрьский
2023 4 22 13,136,береговая,центральный,спортивная,октябрьский
2023 4 22 13,137,комсомольская,заречный,маяковского,центральный
2023 4 22 13,138,комсомольская,заречный,центральная,юго-восточный
2023 4 22 13,139,коммунальная,юго-восточный,восточная,октябрьский
2023 4 22 13,140,чехова,заречный,березовая,северо-западный
2023 4 22 13,141,чехова,заречный,комсомольская,заречный
2023 4 22 13,142,свободы,ленинский,ломоносова,октябрьский
2023 4 22 13,143,дружбы,центральный,спортивная,октябрьский
2023 4 22 13,144,калинина,ленинский,кирова,ленинский
2023 4 22 13,145,сиреневая,юго-восточный,молодежная,юго-восточный
2023 4 22 13,146,западная,ленинский,шоссейная,заречный
2023 4 22 13,147,некрасова,северо-западный,овражная,центральный
2023 4 22 13,148,коммунальная,юго-восточный,почтовая,юго-восточный
2023 4 22 13,149,мичурина,ленинский,пионерская,заречный
2023 4 22 13,150,комсомольская,заречный,крупской,центральный
2023 4 22 13,151,шоссейная,заречный,гагарина,центральный
2023 4 22 13,152,спортивная,октябрьский,дорожная,юго-восточный
2023 4 22 13,153,луговая,октябрьский,первомайская,северо-западный
2023 4 22 13,154,майская,октябрьский,солнечная,центральный
2023 4 22 13,155,красноармейская,юго-восточный,сиреневая,юго-восточный
2023 4 22 13,156,майская,октябрьский,суворова,ленинский
2023 4 22 13,157,красная,северо-западный,победы,юго-восточный
2023 4 22 13,158,свободы,ленинский,парковая,юго-восточный
2023 4 22 13,159,суворова,ленинский,кооперативная,центральный
2023 4 22 13,160,дорожная,юго-восточный,шоссейная,заречный
2023 4 22 13,161,некрасова,северо-западный,набережная,центральный
2023 4 22 13,162,буденного,октябрьский,строительная,северо-западный
2023 4 22 13,163,советская,центральный,колхозная,ленинский
2023 4 22 13,164,комсомольская,заречный,гоголя,центральный
2023 4 22 13,165,свердлова,центральный,буденного,октябрьский
2023 4 22 13,166,красноармейская,юго-восточный,полевая,ленинский
2023 4 22 13,167,рабочая,северо-западный,речная,юго-восточный
2023 4 22 13,168,куйбышева,центральный,школьная,северо-западный
2023 4 22 13,169,буденного,октябрьский,комсомольская,заречный
2023 4 22 13,170,нагорная,центральный,овражная,центральный
2023 4 22 13,171,луговая,октябрьский,буденного,октябрьский
2023 4 22 13,172,буденного,октябрьский,свободы,ленинский
2023 4 22 14,173,полевая,ленинский,новая,северо-западный
2023 4 22 14,174,южная,центральный,озерная,юго-восточный
2023 4 22 14,175,пионерская,заречный,нагорная,центральный
2023 4 22 14,176,рабочая,северо-западный,ленина,ленинский
2023 4 22 14,177,майская,октябрьский,дружбы,центральный
2023 4 22 14,178,калинина,ленинский,строительная,северо-западный
2023 4 22 14,179,рабочая,северо-западный,степная,центральный
2023 4 22 14,180,рабочая,северо-западный,комсомольская,заречный
2023 4 22 14,181,чехова,заречный,шевченко,юго-восточный
2023 4 22 14,182,гагарина,центральный,школьная,северо-западный
2023 4 22 14,183,лесная,юго-восточный,победы,юго-восточный
2023 4 22 14,184,пионерская,заречный,буденного,октябрьский
2023 4 22 14,185,центральная,юго-восточный,красноармейская,юго-восточный
2023 4 22 14,186,дзержинского,центральный,совхозная,центральный
2023 4 22 14,187,шоссейная,заречный,шевченко,юго-восточный
2023 4 22 14,188,калинина,ленинский,ленина,ленинский
2023 4 22 14,189,садовая,заречный,сиреневая,юго-восточный
2023 4 22 14,190,космонавтов,юго-восточный,пионерская,заречный
2023 4 22 14,191,береговая,центральный,школьная,северо-западный
2023 4 22 14,192,сиреневая,юго-восточный,рабочая,северо-западный
2023 4 22 14,193,ломоносова,октябрьский,железнодорожная,центральный
2023 4 22 14,194,строительная,северо-западный,гагарина,центральный
2023 4 22 14,195,ломоносова,октябрьский,ломоносова,октябрьский
2023 4 22 14,196,северная,центральный,нагорная,центральный
2023 4 22 14,197,московская,северо-западный,восточная,октябрьский
2023 4 22 14,198,ломоносова,октябрьский,озерная,юго-восточный
2023 4 22 14,199,ленина,ленинский,парковая,юго-восточный
2023 4 22 14,200,вокзальная,юго-восточный,чехова,заречный
2023 4 22 14,201,пионерская,заречный,партизанская,ленинский
2023 4 22 14,202,ломоносова,октябрьский,кирова,ленинский
2023 4 22 14,203,строителей,центральный,спортивная,октябрьский
2023 4 22 14,204,дачная,центральный,спортивная,октябрьский
2023 4 22 14,205,лесная,юго-восточный,красная,северо-западный
2023 4 22 14,206,буденного,октябрьский,дачная,центральный
2023 4 22 14,207,молодежная,юго-восточный,шевченко,юго-восточный
2023 4 22 14,208,садовая,заречный,вокзальная,юго-восточный
2023 4 22 14,209,речная,юго-восточный,майская,октябрьский
2023 4 22 14,210,шоссейная,заречный,ломоносова,октябрьский
2023 4 22 14,211,нагорная,центральный,юбилейная,юго-восточный
2023 4 22 14,212,центральная,юго-восточный,труда,центральный
2023 4 22 14,213,гоголя,центральный,пионерская,заречный
2023 4 22 14,214,березовая,северо-западный,спортивная,октябрьский
2023 4 22 14,215,куйбышева,центральный,дружбы,центральный
2023 4 22 14,216,гагарина,центральный,школьная,северо-западный
2023 4 22 14,217,карла маркса,ленинский,московская,северо-западный
2023 4 22 14,218,карла маркса,ленинский,южная,центральный
2023 4 22 14,219,колхозная,ленинский,нагорная,центральный
2023 4 22 14,220,овражная,центральный,западная,ленинский
2023 4 22 14,221,вишневая,юго-восточный,красная,северо-западный
2023 4 22 14,222,некрасова,северо-западный,майская,октябрьский
2023 4 22 14,223,свободы,ленинский,совхозная,центральный
2023 4 22 14,224,рябиновая,северо-западный,полевая,ленинский
2023 4 22 14,225,береговая,центральный,овражная,центральный
2023 4 22 14,226,заводская,северо-западный,советская,центральный
2023 4 22 14,227,победы,юго-восточный,вишневая,юго-восточный
2023 4 22 14,228,коммунальная,юго-восточный,победы,юго-восточный
2023 4 22 14,229,чехова,заречный,матросова,центральный
2023 4 22 14,230,октябрьская,заречный,солнечная,центральный
2023 4 22 14,231,лесная,юго-восточный,комсомольская,заречный
2023 4 22 14,232,северная,центральный,почтовая,юго-восточный
2023 4 22 15,233,калинина,ленинский,солнечная,центральный
2023 4 22 15,234,озерная,юго-восточный,мира,центральный
2023 4 22 15,235,майская,октябрьский,луговая,октябрьский
2023 4 22 15,236,энергетиков,юго-восточный,майская,октябрьский
2023 4 22 15,237,овражная,центральный,совхозная,центральный
2023 4 22 15,238,южная,центральный,степная,центральный
2023 4 22 15,239,чкалова,юго-восточный,мира,центральный
2023 4 22 15,240,крупской,центральный,первомайская,северо-западный
2023 4 22 15,241,мичурина,ленинский,ленина,ленинский
2023 4 22 15,242,кооперативная,центральный,пионерская,заречный
2023 4 22 15,243,овражная,центральный,спортивная,октябрьский
2023 4 22 15,244,труда,центральный,московская,северо-западный
2023 4 22 15,245,рябиновая,северо-западный,садовая,заречный
2023 4 22 15,246,пионерская,заречный,рябиновая,северо-западный
2023 4 22 15,247,колхозная,ленинский,набережная,центральный
2023 4 22 15,248,зеленая,центральный,маяковского,центральный
2023 4 22 15,249,садовая,заречный,рябиновая,северо-западный
2023 4 22 15,250,свободы,ленинский,лермонтова,ленинский
2023 4 22 15,251,гагарина,центральный,куйбышева,центральный
2023 4 22 15,252,луговая,октябрьский,восточная,октябрьский
2023 4 22 15,253,заводская,северо-западный,буденного,октябрьский
2023 4 22 15,254,юбилейная,юго-восточный,шевченко,юго-восточный
2023 4 22 15,255,совхозная,центральный,первомайская,северо-западный
2023 4 22 15,256,октябрьская,заречный,степная,центральный
2023 4 22 15,257,спортивная,октябрьский,калинина,ленинский
2023 4 22 15,258,спортивная,октябрьский,коммунальная,юго-восточный
2023 4 22 15,259,вокзальная,юго-восточный,рябиновая,северо-западный
2023 4 22 15,260,шоссейная,заречный,майская,октябрьский
2023 4 22 15,261,коммунальная,юго-восточный,цветочная,северо-западный
2023 4 22 15,262,колхозная,ленинский,восточная,октябрьский
2023 4 22 15,263,луговая,октябрьский,северная,центральный
2023 4 22 15,264,заречная,юго-восточный,восточная,октябрьский
2023 4 22 15,265,дорожная,юго-восточный,юбилейная,юго-восточный
2023 4 22 15,266,дзержинского,центральный,набережная,центральный
2023 4 22 15,267,некрасова,северо-западный,гоголя,центральный
2023 4 22 15,268,чехова,заречный,красноармейская,юго-восточный
2023 4 22 15,269,лермонтова,ленинский,спортивная,октябрьский
2023 4 22 15,270,шевченко,юго-восточный,речная,юго-восточный
2023 4 22 15,271,шевченко,юго-восточный,набережная,центральный
2023 4 22 15,272,калинина,ленинский,полевая,ленинский
2023 4 22 15,273,центральная,юго-восточный,западная,ленинский
2023 4 22 15,274,нагорная,центральный,школьная,северо-западный
2023 4 22 15,275,шоссейная,заречный,полевая,ленинский
2023 4 22 15,276,цветочная,северо-западный,центральная,юго-восточный
2023 4 22 15,277,заводская,северо-западный,победы,юго-восточный
2023 4 22 15,278,чехова,заречный,спортивная,октябрьский
2023 4 22 15,279,коммунальная,юго-восточный,набережная,центральный
2023 4 22 15,280,карла маркса,ленинский,шоссейная,заречный
2023 4 22 15,281,энергетиков,юго-восточный,пионерская,заречный
2023 4 22 15,282,мичурина,ленинский,победы,юго-восточный
2023 4 22 15,283,новая,северо-западный,луговая,октябрьский
2023 4 22 15,284,шоссейная,заречный,мира,центральный
2023 4 22 15,285,новая,северо-западный,комсомольская,заречный
2023 4 22 15,286,восточная,октябрьский,некрасова,северо-западный
2023 4 22 15,287,свободы,ленинский,строителей,центральный
2023 4 22 15,288,космонавтов,юго-восточный,коммунальная,юго-восточный
2023 4 22 15,289,победы,юго-восточный,некрасова,северо-западный
2023 4 22 16,290,пионерская,заречный,пионерская,заречный
2023 4 22 16,291,ленина,ленинский,горького,юго-восточный
2023 4 22 16,292,пионерская,заречный,восточная,октябрьский
2023 4 22 16,293,центральная,юго-восточный,пионерская,заречный
2023 4 22 16,294,школьная,северо-западный,чехова,заречный
2023 4 22 16,295,майская,октябрьский,новая,северо-западный
2023 4 22 16,296,энергетиков,юго-восточный,речная,юго-восточный
2023 4 22 16,297,садовая,заречный,садовая,заречный
2023 4 22 16,298,рабочая,северо-западный,мира,центральный
2023 4 22 16,299,сиреневая,юго-восточный,вишневая,юго-восточный
2023 4 22 16,300,пушкина,центральный,рабочая,северо-западный
2023 4 22 16,301,восточная,октябрьский,энтузиастов,центральный
2023 4 22 16,302,энтузиастов,центральный,пушкина,центральный
2023 4 22 16,303,школьная,северо-западный,энергетиков,юго-восточный
2023 4 22 16,304,майская,октябрьский,колхозная,ленинский
2023 4 22 16,305,восточная,октябрьский,энтузиастов,центральный
2023 4 22 16,306,рябиновая,северо-западный,буденного,октябрьский
2023 4 22 16,307,красноармейская,юго-восточный,спортивная,октябрьский
2023 4 22 16,308,луговая,октябрьский,строительная,северо-западный
2023 4 22 16,309,садовая,заречный,карла маркса,ленинский
2023 4 22 16,310,красноармейская,юго-восточный,крупской,центральный
2023 4 22 16,311,горького,юго-восточный,озерная,юго-восточный
2023 4 22 16,312,партизанская,ленинский,мира,центральный
2023 4 22 16,313,вишневая,юго-восточный,речная,юго-восточный
2023 4 22 16,314,буденного,октябрьский,лесная,юго-восточный
2023 4 22 16,315,комсомольская,заречный,заречная,юго-восточный
2023 4 22 16,316,пионерская,заречный,степная,центральный
2023 4 22 16,317,рябиновая,северо-западный,нагорная,центральный
2023 4 22 16,318,юбилейная,юго-восточный,гагарина,центральный
2023 4 22 16,319,рабочая,северо-западный,набережная,центральный
2023 4 22 16,320,некрасова,северо-западный,березовая,северо-западный
2023 4 22 16,321,горького,юго-восточный,овражная,центральный
2023 4 22 16,322,октябрьская,заречный,подгорная,ленинский
2023 4 22 16,323,калинина,ленинский,вишневая,юго-восточный
2023 4 22 16,324,первомайская,северо-западный,гагарина,центральный
2023 4 22 16,325,маяковского,центральный,комсомольская,заречный
2023 4 22 16,326,чапаева,северо-западный,молодежная,юго-восточный
2023 4 22 16,327,шевченко,юго-восточный,набережная,центральный
2023 4 22 16,328,маяковского,центральный,майская,октябрьский
2023 4 22 16,329,ломоносова,октябрьский,майская,октябрьский
2023 4 22 16,330,чехова,заречный,совхозная,центральный
2023 4 22 16,331,пушкина,центральный,цветочная,северо-западный
2023 4 22 16,332,некрасова,северо-западный,железнодорожная,центральный
2023 4 22 16,333,кооперативная,центральный,рябиновая,северо-западный
2023 4 22 16,334,садовая,заречный,железнодорожная,центральный
2023 4 22 16,335,березовая,северо-западный,подгорная,ленинский
2023 4 22 16,336,партизанская,ленинский,ленина,ленинский
2023 4 22 16,337,колхозная,ленинский,мичурина,ленинский
2023 4 22 16,338,партизанская,ленинский,свободы,ленинский
2023 4 22 16,339,комсомольская,заречный,центральная,юго-восточный
2023 4 22 16,340,советская,центральный,крупской,центральный
2023 4 22 16,341,степная,центральный,советская,центральный
2023 4 22 16,342,свободы,ленинский,буденного,октябрьский
2023 4 22 16,343,кирова,ленинский,рабочая,северо-западный
2023 4 22 16,344,солнечная,центральный,гагарина,центральный
2023 4 22 16,345,майская,октябрьский,школьная,северо-западный
2023 4 22 16,346,мичурина,ленинский,московская,северо-западный
2023 4 22 16,347,спортивная,октябрьский,чкалова,юго-восточный
2023 4 22 16,348,березовая,северо-западный,карла маркса,ленинский
2023 4 22 16,349,энергетиков,юго-восточный,шоссейная,заречный
2023 4 22 16,350,заречная,юго-восточный,зеленая,центральный
2023 4 22 16,351,буденного,октябрьский,пролетарская,центральный
2023 4 22 16,352,московская,северо-западный,комсомольская,заречный
2023 4 22 16,353,шоссейная,заречный,сосновая,юго-восточный
2023 4 22 16,354,вишневая,юго-восточный,трудовая,центральный
2023 4 22 16,355,шоссейная,заречный,горького,юго-восточный
2023 4 22 16,356,вокзальная,юго-восточный,некрасова,северо-западный
2023 4 22 16,357,речная,юго-восточный,мичурина,ленинский
2023 4 22 16,358,крупской,центральный,матросова,центральный
2023 4 22 16,359,юбилейная,юго-восточный,дружбы,центральный
2023 4 22 16,360,пионерская,заречный,октябрьская,заречный
2023 4 22 16,361,луговая,октябрьский,почтовая,юго-восточный
2023 4 22 16,362,молодежная,юго-восточный,комарова,ленинский
2023 4 22 16,363,луговая,октябрьский,суворова,ленинский
2023 4 22 16,364,дзержинского,центральный,строителей,центральный
2023 4 22 16,365,партизанская,ленинский,кооперативная,центральный
2023 4 22 16,366,строительная,северо-западный,советская,центральный
2023 4 22 16,367,майская,октябрьский,спортивная,октябрьский
2023 4 22 16,368,куйбышева,центральный,чкалова,юго-восточный
2023 4 22 16,369,центральная,юго-восточный,красная,северо-западный
2023 4 22 16,370,парковая,юго-восточный,пролетарская,центральный
2023 4 22 16,371,комсомольская,заречный,степная,центральный
2023 4 22 16,372,колхозная,ленинский,дорожная,юго-восточный
2023 4 22 16,373,шоссейная,заречный,майская,октябрьский
2023 4 22 16,374,заречная,юго-восточный,совхозная,центральный
2023 4 22 16,375,березовая,северо-западный,трудовая,центральный
2023 4 22 16,376,заводская,северо-западный,крупской,центральный
2023 4 22 17,377,парковая,юго-восточный,почтовая,юго-восточный
2023 4 22 17,378,спортивная,октябрьский,овражная,центральный
2023 4 22 17,379,матросова,центральный,спортивная,октябрьский
2023 4 22 17,380,труда,центральный,первомайская,северо-западный
2023 4 22 17,381,майская,октябрьский,красная,северо-западный
2023 4 22 17,382,степная,центральный,энергетиков,юго-восточный
2023 4 22 17,383,трудовая,центральный,комсомольская,заречный
2023 4 22 17,384,кирова,ленинский,красная,северо-западный
2023 4 22 17,385,вокзальная,юго-восточный,ломоносова,октябрьский
2023 4 22 17,386,молодежная,юго-восточный,чехова,заречный
2023 4 22 17,387,речная,юго-восточный,спортивная,октябрьский
2023 4 22 17,388,некрасова,северо-западный,майская,октябрьский
2023 4 22 17,389,чапаева,северо-западный,горького,юго-восточный
2023 4 22 17,390,парковая,юго-восточный,свердлова,центральный
2023 4 22 17,391,парковая,юго-восточный,центральная,юго-восточный
2023 4 22 17,392,комарова,ленинский,космонавтов,юго-восточный
2023 4 22 17,393,озерная,юго-восточный,восточная,октябрьский
2023 4 22 17,394,шоссейная,заречный,совхозная,центральный
2023 4 22 17,395,красноармейская,юго-восточный,карла маркса,ленинский
2023 4 22 17,396,мичурина,ленинский,ломоносова,октябрьский
2023 4 22 17,397,пионерская,заречный,матросова,центральный
2023 4 22 17,398,шоссейная,заречный,куйбышева,центральный
2023 4 22 17,399,вокзальная,юго-восточный,ломоносова,октябрьский
2023 4 22 17,400,дачная,центральный,береговая,центральный
2023 4 22 17,401,заречная,юго-восточный,маяковского,центральный
2023 4 22 17,402,дорожная,юго-восточный,майская,октябрьский
2023 4 22 17,403,строительная,северо-западный,полевая,ленинский
2023 4 22 17,404,советская,центральный,ломоносова,октябрьский
2023 4 22 17,405,горького,юго-восточный,спортивная,октябрьский
2023 4 22 17,406,совхозная,центральный,кирова,ленинский
2023 4 22 17,407,шевченко,юго-восточный,пионерская,заречный
2023 4 22 17,408,зеленая,центральный,чапаева,северо-западный
2023 4 22 17,409,энтузиастов,центральный,лермонтова,ленинский
2023 4 22 17,410,чехова,заречный,октябрьская,заречный
2023 4 22 17,411,сосновая,юго-восточный,матросова,центральный
2023 4 22 17,412,комсомольская,заречный,береговая,центральный
2023 4 22 17,413,ленина,ленинский,чехова,заречный
2023 4 22 17,414,нагорная,центральный,чехова,заречный
2023 4 22 17,415,речная,юго-восточный,лесная,юго-восточный
2023 4 22 17,416,некрасова,северо-западный,московская,северо-западный
2023 4 22 17,417,красноармейская,юго-восточный,луговая,октябрьский
2023 4 22 17,418,комсомольская,заречный,коммунальная,юго-восточный
2023 4 22 17,419,садовая,заречный,мичурина,ленинский
2023 4 22 17,420,лермонтова,ленинский,рабочая,северо-западный
2023 4 22 17,421,комарова,ленинский,юбилейная,юго-восточный
2023 4 22 17,422,чкалова,юго-восточный,подгорная,ленинский
2023 4 22 17,423,красная,северо-западный,чапаева,северо-западный
2023 4 22 17,424,ломоносова,октябрьский,чкалова,юго-восточный
2023 4 22 17,425,восточная,октябрьский,ленина,ленинский
2023 4 22 17,426,лермонтова,ленинский,вишневая,юго-восточный
2023 4 22 17,427,заречная,юго-восточный,октябрьская,заречный
2023 4 22 17,428,труда,центральный,речная,юго-восточный
2023 4 22 17,429,первомайская,северо-западный,комсомольская,заречный
2023 4 22 17,430,рабочая,северо-западный,сиреневая,юго-восточный
2023 4 22 17,431,лермонтова,ленинский,комсомольская,заречный
2023 4 22 17,432,комсомольская,заречный,комарова,ленинский
2023 4 22 17,433,чапаева,северо-западный,парковая,юго-восточный
2023 4 22 17,434,молодежная,юго-восточный,дзержинского,центральный
2023 4 22 17,435,чехова,заречный,трудовая,центральный
2023 4 22 17,436,спортивная,октябрьский,свободы,ленинский
2023 4 22 17,437,партизанская,ленинский,горького,юго-восточный
2023 4 22 17,438,калинина,ленинский,карла маркса,ленинский
2023 4 22 17,439,ленина,ленинский,коммунальная,юго-восточный
2023 4 22 17,440,коммунальная,юго-восточный,совхозная,центральный
2023 4 22 17,441,кирова,ленинский,спортивная,октябрьский
2023 4 22 17,442,буденного,октябрьский,майская,октябрьский
2023 4 22 18,443,южная,центральный,колхозная,ленинский
2023 4 22 18,444,красная,северо-западный,лермонтова,ленинский
2023 4 22 18,445,комсомольская,заречный,гагарина,центральный
2023 4 22 18,446,восточная,октябрьский,суворова,ленинский
2023 4 22 18,447,трудовая,центральный,рябиновая,северо-западный
2023 4 22 18,448,береговая,центральный,березовая,северо-западный
2023 4 22 18,449,пионерская,заречный,спортивная,октябрьский
2023 4 22 18,450,озерная,юго-восточный,озерная,юго-восточный
2023 4 22 18,451,центральная,юго-восточный,сиреневая,юго-восточный
2023 4 22 18,452,буденного,октябрьский,нагорная,центральный
2023 4 22 18,453,строителей,центральный,пролетарская,центральный
2023 4 22 18,454,молодежная,юго-восточный,комсомольская,заречный
2023 4 22 18,455,чкалова,юго-восточный,дружбы,центральный
2023 4 22 18,456,суворова,ленинский,восточная,октябрьский
2023 4 22 18,457,кирова,ленинский,степная,центральный
2023 4 22 18,458,березовая,северо-западный,южная,центральный
2023 4 22 18,459,спортивная,октябрьский,пушкина,центральный
2023 4 22 18,460,вишневая,юго-восточный,овражная,центральный
2023 4 22 18,461,северная,центральный,майская,октябрьский
2023 4 22 18,462,центральная,юго-восточный,шевченко,юго-восточный
2023 4 22 18,463,речная,юго-восточный,сосновая,юго-восточный
2023 4 22 18,464,строителей,центральный,сосновая,юго-восточный
