Id,Start Date,End Date,Start Location,Start District,End Location,End District,Distance,Promo
100375,2023-04-22 10:19:53,2023-04-22 11:00:22,Зеленая,центральный,Луговая,Октябрьский,4340.0,0
100376,2023-04-22 10:21:06,2023-04-22 10:37:07,Красноармейская,Юго-Восточный,Чкалова,Юго-Восточный,2974.0,0
100377,2023-04-22 10:27:12,2023-04-22 10:56:24,Рабочая,Северо-Западный,Свердлова,Центральный,3974.0,0
100378,2023-04-22 10:29:42,2023-04-22 10:45:12,Почтовая,Юго-Восточный,Матросова,Центральный,3640.0,0
100379,2023-04-22 10:30:14,2023-04-22 11:01:02,дачная,Центральный,березовая,северо-западный,3911.0,0
100380,2023-04-22 10:31:43,2023-04-22 10:57:44,буденного,Октябрьский,ломоносова,Октябрьский,4453.0,0
100381,2023-04-22 10:32:25,2023-04-22 10:46:36,Заводская,Северо-Западный,Первомайская,северо-западный,2503.0,0
100382,2023-04-22 10:33:01,2023-04-22 10:45:46,Почтовая,Юго-Восточный,Космонавтов,Юго-Восточный,2290.0,0
100383,2023-04-22 10:33:56,2023-04-22 10:58:41,Ломоносова,октябрьский,ул. матросова,Центральный,3907.0,0
100383,2023-04-22 10:33:56,2023-04-22 10:58:41,Ломоносова,октябрьский,ул. матросова,Центральный,3907.0,0
100384,2023-04-22 10:33:56,2023-04-22 10:58:36,карла маркса,Ленинский,вокзальная,Юго-Восточный,3337.0,0
100385,2023-04-22 10:34:44,2023-04-22 11:01:02,Советская,центральный,Зеленая,Центральный,3569.0,0
100386,2023-04-22 10:35:53,2023-04-22 10:58:37,Красная,Северо-Западный,ул. березовая,северо-западный,2908.0,0
100387,2023-04-22 10:37:10,2023-04-22 10:54:34,Дзержинского,Центральный,Шоссейная,Заречный,2373.0,0
100388,2023-04-22 10:37:41,2023-04-22 10:55:48,Рябиновая,северо-западный,Луговая,октябрьский,2391.0,0
100389,2023-04-22 10:41:01,2023-04-22 10:58:21,ул.советская,Центральный,ул.ленина,Ленинский,2325.0,0
100390,2023-04-22 10:45:54,2023-04-22 11:27:31,ул.энергетиков,Юго-Восточный,ул.дружбы,центральный,6001.0,0
100391,2023-04-22 10:46:43,2023-04-22 11:11:54,Пионерская,Заречный,Солнечная,Центральный,3850.0,0
100392,2023-04-22 10:50:23,2023-04-22 11:09:13,ленина,ленинский,ленина,Ленинский,3632.0,0
100393,2023-04-22 10:51:46,2023-04-22 11:41:23,Красная,Северо-Западный,Шоссейная,Заречный,4316.0,0
100394,2023-04-22 10:52:36,2023-04-22 11:16:17,Шоссейная,заречный,Шоссейная,Заречный,3067.0,0
100395,2023-04-22 10:53:12,2023-04-22 11:03:51,ул. сиреневая,юго-восточный,ул.красноармейская,Юго-Восточный,1709.0,0
100396,2023-04-22 10:54:31,2023-04-22 11:22:12,Восточная,Октябрьский,Железнодорожная,Центральный,4227.0,0
100397,2023-04-22 10:54:40,2023-04-22 11:17:05,гагарина,Центральный,красноармейская,Юго-Восточный,3486.0,0
100398,2023-04-22 10:55:01,2023-04-22 11:18:08,юбилейная,Юго-Восточный,степная,центральный,4215.0,0
100399,2023-04-22 10:55:34,2023-04-22 11:29:15,Цветочная,Северо-Западный,ул. лермонтова,Ленинский,4333.0,0
100400,2023-04-22 10:56:34,2023-04-22 11:14:28,ул. набережная,Центральный,ул.матросова,центральный,3136.0,0
100401,2023-04-22 10:58:31,2023-04-22 11:29:40,Сосновая,юго-восточный,Карла Маркса,Ленинский,3766.0,0
100402,2023-04-22 11:01:03,2023-04-22 11:20:12,Спортивная,Октябрьский,Березовая,Северо-Западный,2952.0,0
100403,2023-04-22 11:06:09,2023-04-22 11:37:56,Новая,Северо-Западный,Спортивная,Октябрьский,4425.0,0
100404,2023-04-22 11:06:13,2023-04-22 11:31:26,Почтовая,юго-восточный,Трудовая,Центральный,4364.0,0
100405,2023-04-22 11:08:22,2023-04-22 12:00:35,Ленина,Ленинский,Овражная,Центральный,5.0,0
100406,2023-04-22 11:12:25,2023-04-22 11:28:20,Ломоносова,Октябрьский,Спортивная,Октябрьский,3265.0,0
100407,2023-04-22 11:17:00,2023-04-22 11:44:41,Полевая,Ленинский,Ленина,ленинский,4186.0,0
100408,2023-04-22 11:18:25,2023-04-22 11:36:19,ул. строительная,Северо-Западный,ул.строительная,северо-западный,4.0,0
100409,2023-04-22 11:19:02,2023-04-22 11:43:42,Восточная,октябрьский,Озерная,юго-восточный,4059.0,0
100410,2023-04-22 11:20:56,2023-04-22 11:57:39,Советская,центральный,Речная,Юго-Восточный,4522.0,0
100411,2023-04-22 11:22:09,2023-04-22 11:41:43,Майская,октябрьский,ул. спортивная,Октябрьский,3700.0,0
100412,2023-04-22 11:22:28,2023-04-22 11:45:12,Шоссейная,Заречный,Заводская,северо-западный,4081.0,0
100413,2023-04-22 11:23:18,2023-04-22 11:46:27,Майская,Октябрьский,Школьная,Северо-Западный,4684.0,0
100414,2023-04-22 11:27:20,2023-04-22 11:51:14,Центральная,юго-восточный,ул. трудовая,Центральный,3741.0,0
100415,2023-04-22 11:28:30,2023-04-22 11:50:25,буденного,октябрьский,майская,Октябрьский,3732.0,0
100416,2023-04-22 11:28:49,2023-04-22 11:50:52,Озерная,юго-восточный,Чапаева,северо-западный,3576.0,0
100417,2023-04-22 11:30:01,2023-04-22 11:51:09,ул.горького,Юго-Восточный,ул.сиреневая,Юго-Восточный,3183.0,0
100418,2023-04-22 11:30:51,2023-04-22 11:56:16,ул. восточная,Октябрьский,ул.заводская,Северо-Западный,3658.0,0
100419,2023-04-22 11:31:18,2023-04-22 12:03:19,Цветочная,северо-западный,Коммунальная,Юго-Восточный,4801.0,0
100419,2023-04-22 11:31:18,2023-04-22 12:03:19,Цветочная,северо-западный,Коммунальная,Юго-Восточный,4801.0,0
100420,2023-04-22 11:31:27,2023-04-22 12:03:23,Первомайская,Северо-Западный,Буденного,Октябрьский,3763.0,0
100421,2023-04-22 11:31:45,2023-04-22 11:58:35,пионерская,Заречный,северная,Центральный,3176.0,0
100422,2023-04-22 11:42:43,2023-04-22 12:02:48,Энергетиков,Юго-Восточный,ул. мира,Центральный,3901.0,0
100423,2023-04-22 11:44:51,2023-04-22 12:24:46,ул.озерная,Юго-Восточный,ул.строительная,Северо-Западный,4849.0,0
100424,2023-04-22 11:45:33,2023-04-22 12:02:32,Заводская,Северо-Западный,ул. крупской,Центральный,2365.0,0
100425,2023-04-22 11:46:16,2023-04-22 12:11:28,южная,Центральный,луговая,октябрьский,3118.0,0
100426,2023-04-22 11:48:07,2023-04-22 12:13:00,Пушкина,Центральный,Набережная,Центральный,2892.0,0
100427,2023-04-22 11:52:02,2023-04-22 12:20:27,Некрасова,Северо-Западный,Полевая,Ленинский,3580.0,0
100428,2023-04-22 11:57:12,2023-04-22 12:08:34,Пушкина,Центральный,Матросова,Центральный,2629.0,0
100429,2023-04-22 11:57:41,2023-04-22 12:44:35,ул.молодежная,Юго-Восточный,ул.садовая,заречный,4584.0,0
100430,2023-04-22 11:58:53,2023-04-22 12:19:07,Восточная,Октябрьский,Партизанская,ленинский,3724.0,0
100431,2023-04-22 12:04:32,2023-04-22 12:27:08,ул. пионерская,Заречный,ул.луговая,Октябрьский,4838.0,0
100432,2023-04-22 12:04:37,2023-04-22 12:19:43,Чкалова,Юго-Восточный,Космонавтов,юго-восточный,2637.0,0
100433,2023-04-22 12:05:18,2023-04-22 12:48:02,Некрасова,Северо-Западный,Майская,Октябрьский,5380.0,0
100434,2023-04-22 12:05:36,2023-04-22 12:18:00,Речная,юго-восточный,Заречная,юго-восточный,1984.0,0
100435,2023-04-22 12:06:22,2023-04-22 12:22:14,Майская,Октябрьский,Новая,северо-западный,2247.0,0
100436,2023-04-22 12:06:27,2023-04-22 12:34:24,Пионерская,Заречный,Первомайская,Северо-Западный,3721.0,0
100436,2023-04-22 12:06:27,2023-04-22 12:34:24,Пионерская,Заречный,Первомайская,Северо-Западный,3721.0,0
100437,2023-04-22 12:06:32,2023-04-22 12:36:54,майская,Октябрьский,мира,Центральный,3311.0,0
100438,2023-04-22 12:09:41,2023-04-22 12:27:27,Пионерская,Заречный,Садовая,Заречный,2927.0,0
100439,2023-04-22 12:09:50,2023-04-22 12:34:34,Парковая,Юго-Восточный,Вишневая,юго-восточный,3441.0,0
100440,2023-04-22 12:11:05,2023-04-22 12:42:04,Новая,Северо-Западный,Ломоносова,Октябрьский,5282.0,0
100441,2023-04-22 12:12:47,2023-04-22 12:34:14,Карла Маркса,Ленинский,Свободы,ленинский,1928.0,0
100442,2023-04-22 12:14:49,2023-04-22 12:37:10,Комсомольская,Заречный,Луговая,Октябрьский,3171.0,0
100442,2023-04-22 12:14:49,2023-04-22 12:37:10,Комсомольская,Заречный,Луговая,Октябрьский,3171.0,0
100443,2023-04-22 12:16:46,2023-04-22 12:50:14,Заводская,Северо-Западный,Свердлова,Центральный,4.0,0
100444,2023-04-22 12:16:54,2023-04-22 12:45:53,Коммунальная,Юго-Восточный,Пионерская,Заречный,4150.0,0
100445,2023-04-22 12:17:19,2023-04-22 12:34:33,строителей,Центральный,вокзальная,юго-восточный,3301.0,0
100446,2023-04-22 12:18:29,2023-04-22 12:37:59,Майская,Октябрьский,Школьная,северо-западный,3818.0,0
100446,2023-04-22 12:18:29,2023-04-22 12:37:59,Майская,Октябрьский,Школьная,северо-западный,3818.0,0
100447,2023-04-22 12:20:18,2023-04-22 12:36:32,Кирова,Ленинский,Солнечная,Центральный,2915.0,0
100448,2023-04-22 12:20:40,2023-04-22 12:30:19,Набережная,Центральный,Суворова,Ленинский,2200.0,0
100448,2023-04-22 12:20:40,2023-04-22 12:30:19,Набережная,Центральный,Суворова,Ленинский,2200.0,0
100449,2023-04-22 12:26:20,2023-04-22 12:49:20,Пушкина,центральный,Советская,Центральный,3919.0,0
100450,2023-04-22 12:28:34,2023-04-22 13:04:02,матросова,Центральный,нагорная,Центральный,4442.0,0
100451,2023-04-22 12:28:58,2023-04-22 12:44:08,Садовая,Заречный,Энтузиастов,Центральный,2039.0,0
100452,2023-04-22 12:29:46,2023-04-22 12:49:06,ул. строительная,Северо-Западный,ул.советская,Центральный,3224.0,0
100453,2023-04-22 12:31:36,2023-04-22 12:49:26,Энергетиков,Юго-Восточный,Вишневая,юго-восточный,3177.0,0
100454,2023-04-22 12:32:46,2023-04-22 13:16:29,Некрасова,северо-западный,Сиреневая,Юго-Восточный,7360.0,0
100455,2023-04-22 12:33:24,2023-04-22 13:08:37,колхозная,Ленинский,майская,октябрьский,5238.0,0
100456,2023-04-22 12:38:17,2023-04-22 13:23:44,ул. чкалова,Юго-Восточный,ул.буденного,октябрьский,4834.0,0
100457,2023-04-22 12:38:52,2023-04-22 13:00:38,южная,центральный,ленина,Ленинский,4722.0,0
100458,2023-04-22 12:39:35,2023-04-22 13:22:02,комарова,ленинский,ул.дорожная,Юго-Восточный,4760.0,0
100459,2023-04-22 12:39:58,2023-04-22 13:29:47,Комсомольская,заречный,Чкалова,юго-восточный,4082.0,0
100460,2023-04-22 12:40:28,2023-04-22 13:12:42,Луговая,октябрьский,Новая,Северо-Западный,5342.0,0
100461,2023-04-22 12:40:47,2023-04-22 13:10:45,Спортивная,октябрьский,Свободы,Ленинский,4416111.0,0
100462,2023-04-22 12:42:14,2023-04-22 13:08:45,красноармейская,Юго-Восточный,колхозная,Ленинский,3624.0,0
100462,2023-04-22 12:42:14,2023-04-22 13:08:45,красноармейская,Юго-Восточный,колхозная,Ленинский,3624.0,0
100463,2023-04-22 12:43:05,2023-04-22 13:29:24,Майская,Октябрьский,ул. трудовая,Центральный,5058.0,0
100464,2023-04-22 12:44:45,2023-04-22 13:03:44,Крупской,центральный,Ломоносова,Октябрьский,2512.0,0
100465,2023-04-22 12:45:49,2023-04-22 13:12:15,Чехова,Заречный,Березовая,северо-западный,2730.0,0
100466,2023-04-22 12:47:03,2023-04-22 13:02:16,сосновая,Юго-Восточный,пионерская,Заречный,3171.0,0
100467,2023-04-22 12:49:51,2023-04-22 13:39:18,Полевая,Ленинский,Пионерская,заречный,6627165.0,0
100468,2023-04-22 12:49:57,2023-04-22 13:07:22,Некрасова,Северо-Западный,Рябиновая,Северо-Западный,2680.0,0
100469,2023-04-22 12:50:07,2023-04-22 13:29:40,Чехова,Заречный,Московская,Северо-Западный,6323.0,0
100470,2023-04-22 12:51:28,2023-04-22 13:21:10,цветочная,Северо-Западный,карла маркса,Ленинский,2817.0,0
100471,2023-04-22 12:51:28,2023-04-22 13:19:48,ул.ломоносова,Октябрьский,ул.чапаева,Северо-Западный,5322.0,0
100472,2023-04-22 12:52:46,2023-04-22 13:16:32,Октябрьская,заречный,Гоголя,Центральный,5224.0,0
100473,2023-04-22 12:53:47,2023-04-22 13:22:56,школьная,Северо-Западный,ул.гагарина,Центральный,3900.0,0
100474,2023-04-22 12:56:49,2023-04-22 13:20:04,Озерная,Юго-Восточный,Южная,центральный,2884.0,0
100475,2023-04-22 12:57:15,2023-04-22 13:11:23,Березовая,Северо-Западный,Ул. Железнодорожная,центральный,2718.0,0
100476,2023-04-22 12:57:54,2023-04-22 13:35:15,Березовая,Северо-Западный,ул. майская,Октябрьский,4.0,0
100477,2023-04-22 13:01:43,2023-04-22 13:33:28,ул. октябрьская,Заречный,ул.подгорная,Ленинский,5519.0,0
100478,2023-04-22 13:02:18,2023-04-22 13:38:00,Рабочая,Северо-Западный,Энергетиков,Юго-Восточный,5805.0,0
100479,2023-04-22 13:03:30,2023-04-22 13:40:51,Буденного,Октябрьский,ул. горького,Юго-Восточный,4888.0,0
100480,2023-04-22 13:03:42,2023-04-22 13:16:41,Энергетиков,юго-восточный,Чкалова,Юго-Восточный,2494.0,0
100481,2023-04-22 13:07:07,2023-04-22 13:33:09,ул. первомайская,Северо-Западный,ул.дзержинского,центральный,3088.0,0
100482,2023-04-22 13:07:10,2023-04-22 13:24:32,Набережная,Центральный,Сиреневая,Юго-Восточный,3922.0,0
100483,2023-04-22 13:09:42,2023-04-22 13:42:33,вишневая,Юго-Восточный,буденного,Октябрьский,3311.0,0
100484,2023-04-22 13:14:58,2023-04-22 13:31:06,береговая,центральный,спортивная,Октябрьский,1852.0,0
100485,2023-04-22 13:17:27,2023-04-22 13:37:45,Комсомольская,заречный,ул. маяковского,Центральный,3939.0,0
100486,2023-04-22 13:18:56,2023-04-22 13:43:18,Комсомольская,заречный,Центральная,Юго-Восточный,4606.0,0
100487,2023-04-22 13:19:46,2023-04-22 13:44:13,коммунальная,Юго-Восточный,ул.восточная,Октябрьский,4367.0,0
100488,2023-04-22 13:20:43,2023-04-22 13:42:52,чехова,Заречный,березовая,Северо-Западный,4246.0,0
100489,2023-04-22 13:20:43,2023-04-22 13:47:03,Чехова,Заречный,Железнодорожная,Центральный,4300.0,0
100490,2023-04-22 13:21:49,2023-04-22 13:46:03,Чехова,заречный,Комсомольская,заречный,2164.0,0
100491,2023-04-22 13:24:09,2023-04-22 13:48:02,Свободы,Ленинский,Ломоносова,Октябрьский,3601.0,0
100492,2023-04-22 13:25:43,2023-04-22 13:49:38,Дружбы,центральный,Спортивная,Октябрьский,3350.0,0
100493,2023-04-22 13:26:15,2023-04-22 14:05:01,Калинина,Ленинский,ул. кирова,Ленинский,2359.0,0
100493,2023-04-22 13:26:15,2023-04-22 14:05:01,Калинина,Ленинский,ул. кирова,Ленинский,2359.0,0
100494,2023-04-22 13:27:24,2023-04-22 13:49:54,ул.сиреневая,Юго-Восточный,ул.молодежная,юго-восточный,3789.0,0
100495,2023-04-22 13:30:27,2023-04-22 14:00:06,Западная,Ленинский,Шоссейная,заречный,3983.0,0
100496,2023-04-22 13:30:54,2023-04-22 14:03:41,Некрасова,северо-западный,Овражная,Центральный,3743.0,0
100497,2023-04-22 13:31:50,2023-04-22 13:50:22,Коммунальная,юго-восточный,Почтовая,Юго-Восточный,3065.0,0
100498,2023-04-22 13:32:10,2023-04-22 13:55:55,ул.мичурина,Ленинский,ул.пионерская,Заречный,3615.0,0
100499,2023-04-22 13:32:36,2023-04-22 13:51:16,Комсомольская,Заречный,Крупской,центральный,3667.0,0
100500,2023-04-22 13:32:51,2023-04-22 13:50:43,Шоссейная,Заречный,Гагарина,Центральный,3082.0,0
100501,2023-04-22 13:33:08,2023-04-22 13:53:49,Спортивная,Октябрьский,Дорожная,Юго-Восточный,3689.0,0
100502,2023-04-22 13:34:21,2023-04-22 13:57:09,Луговая,Октябрьский,Первомайская,Северо-Западный,3472.0,0
100503,2023-04-22 13:36:50,2023-04-22 14:00:00,Майская,октябрьский,Солнечная,Центральный,3526.0,0
100504,2023-04-22 13:39:25,2023-04-22 13:59:34,красноармейская,Юго-Восточный,сиреневая,Юго-Восточный,2964.0,0
100505,2023-04-22 13:40:35,2023-04-22 14:08:06,Майская,октябрьский,Суворова,Ленинский,4983.0,0
100506,2023-04-22 13:43:43,2023-04-22 14:13:52,ул.красная,северо-западный,ул.победы,юго-восточный,5679.0,0
100507,2023-04-22 13:43:43,2023-04-22 13:54:55,свободы,Ленинский,парковая,Юго-Восточный,2236.0,0
100508,2023-04-22 13:45:14,2023-04-22 14:03:55,ул. суворова,Ленинский,ул.кооперативная,Центральный,2709.0,0
100509,2023-04-22 13:46:00,2023-04-22 14:26:11,Дорожная,Юго-Восточный,Шоссейная,Заречный,5908.0,0
100510,2023-04-22 13:47:03,2023-04-22 14:16:26,Некрасова,Северо-Западный,Набережная,Центральный,5085.0,0
100511,2023-04-22 13:47:18,2023-04-22 14:07:30,Буденного,Октябрьский,Строительная,Северо-Западный,3722.0,0
100512,2023-04-22 13:47:41,2023-04-22 14:12:30,ул.советская,центральный,ул.колхозная,Ленинский,2823.0,0
100513,2023-04-22 13:48:06,2023-04-22 14:14:48,комсомольская,Заречный,гоголя,Центральный,4861.0,0
100513,2023-04-22 13:48:06,2023-04-22 14:14:48,комсомольская,Заречный,гоголя,Центральный,4861.0,0
100514,2023-04-22 13:48:12,2023-04-22 14:11:56,Свердлова,центральный,Буденного,Октябрьский,4178.0,0
100515,2023-04-22 13:48:34,2023-04-22 14:09:32,ул.красноармейская,Юго-Восточный,ул.полевая,Ленинский,3928.0,0
100515,2023-04-22 13:48:34,2023-04-22 14:09:32,ул.красноармейская,Юго-Восточный,ул.полевая,Ленинский,3928.0,0
100516,2023-04-22 13:50:15,2023-04-22 14:24:33,ул рабочая,Северо-Западный,речная,Юго-Восточный,4849.0,0
100517,2023-04-22 13:53:36,2023-04-22 14:16:43,Цветочная,Северо-Западный,ул. мичурина,Ленинский,nan,0
100518,2023-04-22 13:54:36,2023-04-22 14:36:59,Луговая,октябрьский,Труда,Центральный,4.0,0
100519,2023-04-22 13:55:00,2023-04-22 14:25:55,Куйбышева,центральный,Школьная,северо-западный,4010.0,0
100520,2023-04-22 13:55:23,2023-04-22 14:33:59,Буденного,октябрьский,Комсомольская,Заречный,4096.0,0
100521,2023-04-22 13:55:41,2023-04-22 14:12:20,Нагорная,Центральный,Овражная,Центральный,2331.0,0
100522,2023-04-22 13:57:16,2023-04-22 14:12:21,ул. луговая,Октябрьский,ул.буденного,Октябрьский,2510.0,0
100523,2023-04-22 13:57:46,2023-04-22 14:08:46,буденного,октябрьский,свободы,Ленинский,1717.0,0
100524,2023-04-22 14:01:03,2023-04-22 14:25:33,Полевая,ленинский,Новая,Северо-Западный,4476.0,0
100525,2023-04-22 14:01:08,2023-04-22 14:24:12,Южная,Центральный,Озерная,Юго-Восточный,2704.0,0
100526,2023-04-22 14:01:14,2023-04-22 14:19:44,ул. пионерская,заречный,ул.нагорная,Центральный,3406.0,0
100527,2023-04-22 14:02:08,2023-04-22 14:37:52,Рабочая,Северо-Западный,Ленина,Ленинский,3698.0,0
100528,2023-04-22 14:03:36,2023-04-22 14:26:08,Майская,Октябрьский,Дружбы,центральный,3805.0,0
100529,2023-04-22 14:03:39,2023-04-22 14:35:41,Калинина,Ленинский,Строительная,северо-западный,4561.0,0
100530,2023-04-22 14:04:12,2023-04-22 14:21:24,Рабочая,Северо-Западный,ул. степная,Центральный,2547.0,0
100531,2023-04-22 14:06:13,2023-04-22 14:39:19,Рабочая,северо-западный,Комсомольская,Заречный,4468.0,0
100532,2023-04-22 14:06:29,2023-04-22 14:35:22,Чехова,Заречный,Шевченко,Юго-Восточный,3602.0,0
100533,2023-04-22 14:07:23,2023-04-22 14:28:08,Гагарина,Центральный,Школьная,Северо-Западный,3621.0,0
100534,2023-04-22 14:08:08,2023-04-22 14:19:41,Лесная,юго-восточный,Победы,Юго-Восточный,2165.0,0
100535,2023-04-22 14:08:43,2023-04-22 14:30:40,Пионерская,Заречный,Буденного,октябрьский,3781.0,0
100536,2023-04-22 14:08:45,2023-04-22 14:23:40,Центральная,Юго-Восточный,Красноармейская,Юго-Восточный,2424.0,0
100537,2023-04-22 14:10:13,2023-04-22 14:52:14,ул. дзержинского,Центральный,ул.совхозная,Центральный,3148.0,0
100537,2023-04-22 14:10:13,2023-04-22 14:52:14,ул. дзержинского,Центральный,ул.совхозная,Центральный,3148.0,0
100538,2023-04-22 14:10:51,2023-04-22 14:41:47,Шоссейная,заречный,Шевченко,Юго-Восточный,4637.0,0
100539,2023-04-22 14:11:08,2023-04-22 14:40:21,Калинина,ленинский,Ленина,Ленинский,3702.0,0
100540,2023-04-22 14:14:02,2023-04-22 14:37:21,Садовая,Заречный,Сиреневая,Юго-Восточный,4515.0,0
100541,2023-04-22 14:14:30,2023-04-22 14:33:51,космонавтов,юго-восточный,пионерская,заречный,3424.0,0
100542,2023-04-22 14:14:50,2023-04-22 14:26:41,Береговая,Центральный,Школьная,Северо-Западный,2218.0,0
100543,2023-04-22 14:16:13,2023-04-22 14:31:59,Сиреневая,юго-восточный,ул. рабочая,северо-западный,2470.0,0
100544,2023-04-22 14:16:20,2023-04-22 14:36:33,ломоносова,Октябрьский,ул.железнодорожная,Центральный,2830.0,0
100545,2023-04-22 14:16:34,2023-04-22 14:32:01,ул. строительная,Северо-Западный,ул.гагарина,центральный,2987.0,0
100546,2023-04-22 14:17:02,2023-04-22 14:52:44,Ломоносова,Октябрьский,Ломоносова,Октябрьский,4539.0,0
100547,2023-04-22 14:18:57,2023-04-22 14:34:31,Северная,Центральный,Нагорная,Центральный,2902.0,0
100548,2023-04-22 14:19:32,2023-04-22 14:48:35,московская,Северо-Западный,восточная,октябрьский,3977.0,0
100549,2023-04-22 14:19:42,2023-04-22 14:43:20,ул.дзержинского,Центральный,ул.восточная,октябрьский,4.0,0
100550,2023-04-22 14:19:55,2023-04-22 14:40:40,Западная,Ленинский,Маяковского,Центральный,3.0,0
100551,2023-04-22 14:20:16,2023-04-22 14:39:52,Ломоносова,октябрьский,Озерная,юго-восточный,3003.0,0
100552,2023-04-22 14:20:22,2023-04-22 14:42:23,Ленина,Ленинский,Парковая,Юго-Восточный,4458.0,0
100553,2023-04-22 14:20:22,2023-04-22 14:50:00,Вокзальная,Юго-Восточный,Чехова,Заречный,4522.0,0
100554,2023-04-22 14:23:17,2023-04-22 14:49:06,Пионерская,заречный,Партизанская,Ленинский,5087.0,0
100555,2023-04-22 14:24:37,2023-04-22 14:40:48,ул.ломоносова,Октябрьский,ул.кирова,Ленинский,2405.0,0
100556,2023-04-22 14:25:54,2023-04-22 14:47:19,Строителей,Центральный,Спортивная,Октябрьский,3327.0,0
100557,2023-04-22 14:26:41,2023-04-22 15:13:13,Дачная,Центральный,Спортивная,Октябрьский,4949.0,0
